count,department_name,intercept,Friday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,January,March,May
38,East Pierce Fire and Rescue,1,0,0,1,0,0,0,0,0,0,0
56,City of Roseville Fire Department,1,0,0,1,0,0,0,0,0,0,0
86,Newport News Fire Department,1,0,0,1,0,0,0,0,0,0,0
38,Northwest Fire District,1,0,0,1,0,0,0,0,0,0,0
68,West Palm Beach Fire Department,1,0,0,1,0,0,0,0,0,0,0
124,Richmond Fire and Emergency Services,1,0,0,1,0,0,0,0,0,0,0
1,Simsbury Volunteer Fire Department,1,0,0,1,0,0,0,0,0,0,0
10,City of Westfield Fire Department,1,0,0,1,0,0,0,0,0,0,0
22,Carmel Fire Department,1,0,0,1,0,0,0,0,0,0,0
44,Golder Ranch Fire District,1,0,0,1,0,0,0,0,0,0,0
237,Tucson Fire Department,1,0,0,1,0,0,0,0,0,0,0
16,Jackson County Fire District 3,1,0,0,1,0,0,0,0,0,0,0
140,Broward County Sheriffs Office Department of Fire Rescue,1,0,0,1,0,0,0,0,0,0,0
143,Lexington Fire Department,1,0,0,1,0,0,0,0,0,0,0
424,San Francisco Fire Department,1,0,0,1,0,0,0,0,0,0,0
57,Pasco Fire Department,1,0,0,1,0,0,0,0,0,0,0
12,Coral Gables Fire and Rescue Department,1,0,0,1,0,0,0,0,0,0,0
28,South Adams County Fire Protection District,1,0,0,1,0,0,0,0,0,0,0
17,City of Fairfax Fire Department,1,0,0,1,0,0,0,0,0,0,0
13,Plainfield Fire Protection District,1,0,0,1,0,0,0,0,0,0,0
477,Orange County Fire Rescue Department,1,0,0,1,0,0,0,0,0,0,0
697,Miami-Dade Fire Rescue Department,1,0,0,1,0,0,0,0,0,0,0
3,Fairmount Fire Protection District,1,0,0,1,0,0,0,0,0,0,0
8,Southern Platte Fire Protection District,1,0,0,1,0,0,0,0,0,0,0
211,Boston Fire Department,1,0,0,1,0,0,0,0,0,0,0
14,Rogers Fire Department,1,0,0,1,0,0,0,0,0,0,0
119,City of Saint Paul Fire Department,1,0,0,1,0,0,0,0,0,0,0
42,Delray Beach Fire-Rescue Department,1,0,0,1,0,0,0,0,0,0,0
89,Jersey City Fire Department,1,0,0,1,0,0,0,0,0,0,0
57,Richland Fire and Emergency Services,1,0,0,1,0,0,0,0,0,0,0
19,Delaware Fire Department,1,0,0,1,0,0,0,0,0,0,0
39,Bellevue Fire Department,1,0,0,1,0,0,0,0,0,0,0
244,Anne Arundel County Fire Department,1,0,0,1,0,0,0,0,0,0,0
65,Hall County Fire Services,1,0,0,1,0,0,0,0,0,0,0
53,City of Fort Myers Fire Department,1,0,0,1,0,0,0,0,0,0,0
62,Alexandria Fire Department,1,0,0,1,0,0,0,0,0,0,0
53,Adams County Fire Protection District,1,0,0,1,0,0,0,0,0,0,0
179,Mesa Fire and Medical Department,1,0,0,1,0,0,0,0,0,0,0
53,Starwest Tech RMZ,1,0,0,1,0,0,0,0,0,0,0
154,Orlando Fire Department,1,0,0,1,0,0,0,0,0,0,0
27,Riviera Beach Fire Rescue,1,0,0,1,0,0,0,0,0,0,0
67,Loudoun County Fire Rescue and EMS,1,0,0,1,0,0,0,0,0,0,0
1047,Los Angeles County Fire Department,1,0,0,1,0,0,0,0,0,0,0
1,Wayne Township Volunteer Fire Department,1,0,0,1,0,0,0,0,0,0,0
55,The Villages Public Safety Department,1,0,0,1,0,0,0,0,0,0,0
21,New Rochelle Fire Department,1,0,0,1,0,0,0,0,0,0,0
45,Cosumnes Community Services District Fire Department,1,0,0,1,0,0,0,0,0,0,0
100,West Metro Fire Rescue,1,0,0,1,0,0,0,0,0,0,0
82,Ontario Fire Department,1,0,0,1,0,0,0,0,0,0,0
13,Noblesville Fire Department,1,0,0,1,0,0,0,0,0,0,0
598,Clark County Fire Department,1,0,0,1,0,0,0,0,0,0,0
5,Torrington Fire Department,1,0,0,1,0,0,0,0,0,0,0
5,Cicero Fire Department,1,0,0,1,0,0,0,0,0,0,0
14,Fishers Fire and Emergency Services,1,0,0,1,0,0,0,0,0,0,0
14,Kingston Fire and Rescue,1,0,0,1,0,0,0,0,0,0,0
240,Sacramento Metropolitan Fire District,1,0,0,1,0,0,0,0,0,0,0
27,City of Fairfax Fire Department,1,0,0,0,0,0,0,0,0,0,0
1,Sheridan Fire Department,1,0,0,0,0,0,0,0,0,0,0
1,Toms River Fire District 1,1,0,0,0,0,0,0,0,0,0,0
248,Boston Fire Department,1,0,0,0,0,0,0,0,0,0,0
122,Richmond Fire and Emergency Services,1,0,0,0,0,0,0,0,0,0,0
2,Simsbury Volunteer Fire Department,1,0,0,0,0,0,0,0,0,0,0
99,West Metro Fire Rescue,1,0,0,0,0,0,0,0,0,0,0
45,Cosumnes Community Services District Fire Department,1,0,0,0,0,0,0,0,0,0,0
73,Starwest Tech RMZ,1,0,0,0,0,0,0,0,0,0,0
91,Jersey City Fire Department,1,0,0,0,0,0,0,0,0,0,0
48,Bellevue Fire Department,1,0,0,0,0,0,0,0,0,0,0
73,City of Fort Myers Fire Department,1,0,0,0,0,0,0,0,0,0,0
114,Richland Fire and Emergency Services,1,0,0,0,0,0,0,0,0,0,0
144,Orlando Fire Department,1,0,0,0,0,0,0,0,0,0,0
670,Clark County Fire Department,1,0,0,0,0,0,0,0,0,0,0
14,Noblesville Fire Department,1,0,0,0,0,0,0,0,0,0,0
20,St Louis Park Fire Department,1,0,0,0,0,0,0,0,0,0,0
13,Fishers Fire and Emergency Services,1,0,0,0,0,0,0,0,0,0,0
20,Kingston Fire and Rescue,1,0,0,0,0,0,0,0,0,0,0
114,Pasco Fire Department,1,0,0,0,0,0,0,0,0,0,0
4,Southern Platte Fire Protection District,1,0,0,0,0,0,0,0,0,0,0
43,Adams County Fire Protection District,1,0,0,0,0,0,0,0,0,0,0
49,City of Roseville Fire Department,1,0,0,0,0,0,0,0,0,0,0
269,Albuquerque Fire Rescue,1,0,0,0,0,0,0,0,0,0,0
85,The Villages Public Safety Department,1,0,0,0,0,0,0,0,0,0,0
1,Jackson Township Fire Department,1,0,0,0,0,0,0,0,0,0,0
2,Fairmount Fire Protection District,1,0,0,0,0,0,0,0,0,0,0
18,Carmel Fire Department,1,0,0,0,0,0,0,0,0,0,0
24,South Adams County Fire Protection District,1,0,0,0,0,0,0,0,0,0,0
725,Miami-Dade Fire Rescue Department,1,0,0,0,0,0,0,0,0,0,0
150,Lexington Fire Department,1,0,0,0,0,0,0,0,0,0,0
521,Orange County Fire Rescue Department,1,0,0,0,0,0,0,0,0,0,0
75,West Palm Beach Fire Department,1,0,0,0,0,0,0,0,0,0,0
85,Newport News Fire Department,1,0,0,0,0,0,0,0,0,0,0
1165,Los Angeles County Fire Department,1,0,0,0,0,0,0,0,0,0,0
70,Loudoun County Fire Rescue and EMS,1,0,0,0,0,0,0,0,0,0,0
15,Jackson County Fire District 3,1,0,0,0,0,0,0,0,0,0,0
42,East Pierce Fire and Rescue,1,0,0,0,0,0,0,0,0,0,0
28,Coral Gables Fire and Rescue Department,1,0,0,0,0,0,0,0,0,0,0
48,New Rochelle Fire Department,1,0,0,0,0,0,0,0,0,0,0
131,Broward County Sheriffs Office Department of Fire Rescue,1,0,0,0,0,0,0,0,0,0,0
141,Ontario Fire Department,1,0,0,0,0,0,0,0,0,0,0
11,Rogers Fire Department,1,0,0,0,0,0,0,0,0,0,0
17,Riviera Beach Fire Rescue,1,0,0,0,0,0,0,0,0,0,0
204,Mesa Fire and Medical Department,1,0,0,0,0,0,0,0,0,0,0
15,Plainfield Fire Protection District,1,0,0,0,0,0,0,0,0,0,0
66,Hall County Fire Services,1,0,0,0,0,0,0,0,0,0,0
438,San Francisco Fire Department,1,0,0,0,0,0,0,0,0,0,0
6,Torrington Fire Department,1,0,0,0,0,0,0,0,0,0,0
305,Sacramento Metropolitan Fire District,1,0,0,0,0,0,0,0,0,0,0
21,Delaware Fire Department,1,0,0,0,0,0,0,0,0,0,0
443,Memphis Division of Fire Services,1,0,0,0,0,0,0,0,0,0,0
280,Tucson Fire Department,1,0,0,0,0,0,0,0,0,0,0
36,Northwest Fire District,1,0,0,0,0,0,0,0,0,0,0
60,Alexandria Fire Department,1,0,0,0,0,0,0,0,0,0,0
252,Anne Arundel County Fire Department,1,0,0,0,0,0,0,0,0,0,0
47,Delray Beach Fire-Rescue Department,1,0,0,0,0,0,0,0,0,0,0
11,City of Westfield Fire Department,1,0,0,0,0,0,0,0,0,0,0
2,Cicero Fire Department,1,0,0,0,0,0,0,0,0,0,0
48,Golder Ranch Fire District,1,0,0,0,0,0,0,0,0,0,0
6,Kingston Fire and Rescue,1,0,0,0,0,1,0,0,0,0,0
6,Southern Platte Fire Protection District,1,0,0,0,0,1,0,0,0,0,0
40,Golder Ranch Fire District,1,0,0,0,0,1,0,0,0,0,0
1,Jackson Township Fire Department,1,0,0,0,0,1,0,0,0,0,0
149,Broward County Sheriffs Office Department of Fire Rescue,1,0,0,0,0,1,0,0,0,0,0
253,Sacramento Metropolitan Fire District,1,0,0,0,0,1,0,0,0,0,0
431,Memphis Division of Fire Services,1,0,0,0,0,1,0,0,0,0,0
240,Albuquerque Fire Rescue,1,0,0,0,0,1,0,0,0,0,0
108,Newport News Fire Department,1,0,0,0,0,1,0,0,0,0,0
123,Ontario Fire Department,1,0,0,0,0,1,0,0,0,0,0
16,Noblesville Fire Department,1,0,0,0,0,1,0,0,0,0,0
2,Cicero Fire Department,1,0,0,0,0,1,0,0,0,0,0
54,Starwest Tech RMZ,1,0,0,0,0,1,0,0,0,0,0
65,Jersey City Fire Department,1,0,0,0,0,1,0,0,0,0,0
111,West Metro Fire Rescue,1,0,0,0,0,1,0,0,0,0,0
233,Mesa Fire and Medical Department,1,0,0,0,0,1,0,0,0,0,0
14,Riviera Beach Fire Rescue,1,0,0,0,0,1,0,0,0,0,0
44,Bellevue Fire Department,1,0,0,0,0,1,0,0,0,0,0
79,Hall County Fire Services,1,0,0,0,0,1,0,0,0,0,0
12,Delaware Fire Department,1,0,0,0,0,1,0,0,0,0,0
78,Richland Fire and Emergency Services,1,0,0,0,0,1,0,0,0,0,0
56,City of Fort Myers Fire Department,1,0,0,0,0,1,0,0,0,0,0
154,Orlando Fire Department,1,0,0,0,0,1,0,0,0,0,0
22,Rogers Fire Department,1,0,0,0,0,1,0,0,0,0,0
23,New Rochelle Fire Department,1,0,0,0,0,1,0,0,0,0,0
159,City of Saint Paul Fire Department,1,0,0,0,0,1,0,0,0,0,0
16,St Louis Park Fire Department,1,0,0,0,0,1,0,0,0,0,0
620,Clark County Fire Department,1,0,0,0,0,1,0,0,0,0,0
75,West Palm Beach Fire Department,1,0,0,0,0,1,0,0,0,0,0
15,Fishers Fire and Emergency Services,1,0,0,0,0,1,0,0,0,0,0
56,City of Roseville Fire Department,1,0,0,0,0,1,0,0,0,0,0
770,Miami-Dade Fire Rescue Department,1,0,0,0,0,1,0,0,0,0,0
53,Loudoun County Fire Rescue and EMS,1,0,0,0,0,1,0,0,0,0,0
54,Delray Beach Fire-Rescue Department,1,0,0,0,0,1,0,0,0,0,0
91,The Villages Public Safety Department,1,0,0,0,0,1,0,0,0,0,0
3,Torrington Fire Department,1,0,0,0,0,1,0,0,0,0,0
268,Boston Fire Department,1,0,0,0,0,1,0,0,0,0,0
168,Lexington Fire Department,1,0,0,0,0,1,0,0,0,0,0
52,Adams County Fire Protection District,1,0,0,0,0,1,0,0,0,0,0
78,Pasco Fire Department,1,0,0,0,0,1,0,0,0,0,0
44,Cosumnes Community Services District Fire Department,1,0,0,0,0,1,0,0,0,0,0
998,Los Angeles County Fire Department,1,0,0,0,0,1,0,0,0,0,0
24,City of Fairfax Fire Department,1,0,0,0,0,1,0,0,0,0,0
258,Anne Arundel County Fire Department,1,0,0,0,0,1,0,0,0,0,0
76,Alexandria Fire Department,1,0,0,0,0,1,0,0,0,0,0
8,Plainfield Fire Protection District,1,0,0,0,0,1,0,0,0,0,0
2,Toms River Fire District 1,1,0,0,0,0,1,0,0,0,0,0
19,Jackson County Fire District 3,1,0,0,0,0,1,0,0,0,0,0
123,Richmond Fire and Emergency Services,1,0,0,0,0,1,0,0,0,0,0
440,San Francisco Fire Department,1,0,0,0,0,1,0,0,0,0,0
571,Orange County Fire Rescue Department,1,0,0,0,0,1,0,0,0,0,0
25,South Adams County Fire Protection District,1,0,0,0,0,1,0,0,0,0,0
31,East Pierce Fire and Rescue,1,0,0,0,0,1,0,0,0,0,0
24,Carmel Fire Department,1,0,0,0,0,1,0,0,0,0,0
47,Northwest Fire District,1,0,0,0,0,1,0,0,0,0,0
221,Tucson Fire Department,1,0,0,0,0,1,0,0,0,0,0
6,City of Westfield Fire Department,1,0,0,0,0,1,0,0,0,0,0
26,Coral Gables Fire and Rescue Department,1,0,0,0,0,1,0,0,0,0,0
2,Simsbury Volunteer Fire Department,1,0,0,0,0,1,0,0,0,0,0
83,Richland Fire and Emergency Services,1,0,0,0,0,0,1,0,0,0,0
36,East Pierce Fire and Rescue,1,0,0,0,0,0,1,0,0,0,0
57,City of Fort Myers Fire Department,1,0,0,0,0,0,1,0,0,0,0
8,City of Westfield Fire Department,1,0,0,0,0,0,1,0,0,0,0
43,Alexandria Fire Department,1,0,0,0,0,0,1,0,0,0,0
199,Boston Fire Department,1,0,0,0,0,0,1,0,0,0,0
29,Riviera Beach Fire Rescue,1,0,0,0,0,0,1,0,0,0,0
105,Richmond Fire and Emergency Services,1,0,0,0,0,0,1,0,0,0,0
2,Sheridan Fire Department,1,0,0,0,0,0,1,0,0,0,0
214,Mesa Fire and Medical Department,1,0,0,0,0,0,1,0,0,0,0
169,City of Saint Paul Fire Department,1,0,0,0,0,0,1,0,0,0,0
57,Starwest Tech RMZ,1,0,0,0,0,0,1,0,0,0,0
1188,Los Angeles County Fire Department,1,0,0,0,0,0,1,0,0,0,0
13,St Louis Park Fire Department,1,0,0,0,0,0,1,0,0,0,0
22,Rogers Fire Department,1,0,0,0,0,0,1,0,0,0,0
45,City of Roseville Fire Department,1,0,0,0,0,0,1,0,0,0,0
50,Adams County Fire Protection District,1,0,0,0,0,0,1,0,0,0,0
271,Sacramento Metropolitan Fire District,1,0,0,0,0,0,1,0,0,0,0
19,South Adams County Fire Protection District,1,0,0,0,0,0,1,0,0,0,0
415,San Francisco Fire Department,1,0,0,0,0,0,1,0,0,0,0
12,Plainfield Fire Protection District,1,0,0,0,0,0,1,0,0,0,0
10,Southern Platte Fire Protection District,1,0,0,0,0,0,1,0,0,0,0
4,Kingston Fire and Rescue,1,0,0,0,0,0,1,0,0,0,0
49,Loudoun County Fire Rescue and EMS,1,0,0,0,0,0,1,0,0,0,0
83,Pasco Fire Department,1,0,0,0,0,0,1,0,0,0,0
143,Lexington Fire Department,1,0,0,0,0,0,1,0,0,0,0
718,Miami-Dade Fire Rescue Department,1,0,0,0,0,0,1,0,0,0,0
601,Clark County Fire Department,1,0,0,0,0,0,1,0,0,0,0
8,Fairmount Fire Protection District,1,0,0,0,0,0,1,0,0,0,0
143,Broward County Sheriffs Office Department of Fire Rescue,1,0,0,0,0,0,1,0,0,0,0
245,Anne Arundel County Fire Department,1,0,0,0,0,0,1,0,0,0,0
445,Memphis Division of Fire Services,1,0,0,0,0,0,1,0,0,0,0
23,New Rochelle Fire Department,1,0,0,0,0,0,1,0,0,0,0
167,Orlando Fire Department,1,0,0,0,0,0,1,0,0,0,0
20,Coral Gables Fire and Rescue Department,1,0,0,0,0,0,1,0,0,0,0
52,Delray Beach Fire-Rescue Department,1,0,0,0,0,0,1,0,0,0,0
78,Newport News Fire Department,1,0,0,0,0,0,1,0,0,0,0
110,West Metro Fire Rescue,1,0,0,0,0,0,1,0,0,0,0
134,Ontario Fire Department,1,0,0,0,0,0,1,0,0,0,0
237,Albuquerque Fire Rescue,1,0,0,0,0,0,1,0,0,0,0
43,Cosumnes Community Services District Fire Department,1,0,0,0,0,0,1,0,0,0,0
71,Hall County Fire Services,1,0,0,0,0,0,1,0,0,0,0
1,Jackson Township Fire Department,1,0,0,0,0,0,1,0,0,0,0
41,Northwest Fire District,1,0,0,0,0,0,1,0,0,0,0
48,Golder Ranch Fire District,1,0,0,0,0,0,1,0,0,0,0
227,Tucson Fire Department,1,0,0,0,0,0,1,0,0,0,0
25,Carmel Fire Department,1,0,0,0,0,0,1,0,0,0,0
3,Torrington Fire Department,1,0,0,0,0,0,1,0,0,0,0
82,West Palm Beach Fire Department,1,0,0,0,0,0,1,0,0,0,0
10,Noblesville Fire Department,1,0,0,0,0,0,1,0,0,0,0
15,Fishers Fire and Emergency Services,1,0,0,0,0,0,1,0,0,0,0
24,Jackson County Fire District 3,1,0,0,0,0,0,1,0,0,0,0
1,Cicero Fire Department,1,0,0,0,0,0,1,0,0,0,0
103,The Villages Public Safety Department,1,0,0,0,0,0,1,0,0,0,0
19,Delaware Fire Department,1,0,0,0,0,0,1,0,0,0,0
589,Orange County Fire Rescue Department,1,0,0,0,0,0,1,0,0,0,0
22,City of Fairfax Fire Department,1,0,0,0,0,0,1,0,0,0,0
4,Toms River Fire District 1,1,0,0,0,0,0,1,0,0,0,0
69,Bellevue Fire Department,1,0,0,0,0,0,1,0,0,0,0
75,Jersey City Fire Department,1,0,0,0,0,0,1,0,0,0,0
209,Boston Fire Department,1,0,0,0,1,0,0,0,0,0,0
58,Northwest Fire District,1,0,0,0,1,0,0,0,0,0,0
49,Alexandria Fire Department,1,0,0,0,1,0,0,0,0,0,0
4,Torrington Fire Department,1,0,0,0,1,0,0,0,0,0,0
1090,Los Angeles County Fire Department,1,0,0,0,1,0,0,0,0,0,0
15,Kingston Fire and Rescue,1,0,0,0,1,0,0,0,0,0,0
184,Lexington Fire Department,1,0,0,0,1,0,0,0,0,0,0
17,Fishers Fire and Emergency Services,1,0,0,0,1,0,0,0,0,0,0
125,Richmond Fire and Emergency Services,1,0,0,0,1,0,0,0,0,0,0
87,Pasco Fire Department,1,0,0,0,1,0,0,0,0,0,0
102,West Metro Fire Rescue,1,0,0,0,1,0,0,0,0,0,0
21,Coral Gables Fire and Rescue Department,1,0,0,0,1,0,0,0,0,0,0
557,Orange County Fire Rescue Department,1,0,0,0,1,0,0,0,0,0,0
98,Newport News Fire Department,1,0,0,0,1,0,0,0,0,0,0
2,Simsbury Volunteer Fire Department,1,0,0,0,1,0,0,0,0,0,0
143,Broward County Sheriffs Office Department of Fire Rescue,1,0,0,0,1,0,0,0,0,0,0
45,City of Roseville Fire Department,1,0,0,0,1,0,0,0,0,0,0
20,City of Fairfax Fire Department,1,0,0,0,1,0,0,0,0,0,0
148,City of Saint Paul Fire Department,1,0,0,0,1,0,0,0,0,0,0
5,Southern Platte Fire Protection District,1,0,0,0,1,0,0,0,0,0,0
3,Toms River Fire District 1,1,0,0,0,1,0,0,0,0,0,0
